origin_country,destination_country,destination_city,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_country,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,duration,placement_status
1,5,Moscow,Lomonosov Moscow State University,Computer Science,3,2021,0,Higher Ranking,2024,Russia,Microsoft,-0.1604391685910036,1.5632971083193887,5,4,3,0.7582101437630302,1.214516984136964,1
8,2,Aachen,RWTH Aachen,Civil Engineering,4,2023,1,Job Opportunities,2024,Germany,Google,-0.22866474572269183,-1.5020824082758635,4,1,2,0.8540297436133124,-1.2311475026470962,1
4,0,Vancouver,University of British Columbia,Law,0,2019,0,Scholarship,2020,None,None,-0.8785035087145754,-1.2234115431308403,0,0,4,0.0,-1.2311475026470962,0
7,8,Birmingham,University of Birmingham,Data Science,7,2021,1,Quality of Life,2023,UK,Apple,0.12500402636804805,1.0756230943155987,2,2,4,0.0,-0.008315259255065975,1
6,2,Stuttgart,University of Stuttgart,Business Administration,4,2020,1,Political Stability,2021,Germany,IBM,0.20186625170311182,-0.6660698128407949,2,1,2,1.1414885431641564,-1.2311475026470962,1
7,6,Pretoria,University of Pretoria,Mechanical Engineering,3,2022,1,Job Opportunities,2023,None,None,-0.8785035087145754,-1.2930792594170966,1,0,3,0.3749317443619041,-1.2311475026470962,0
7,8,Edinburgh,University of Edinburgh,Architecture,4,2019,1,Quality of Life,2021,None,None,-0.8785035087145754,-0.5964020965545386,4,0,0,-1.3498210529431667,-0.008315259255065975,0
7,8,Cambridge,University of Cambridge,Finance,4,2023,0,Job Opportunities,2024,UK,Facebook,1.0587676694521797,0.6576167965980638,3,4,1,-1.5414602526437293,-1.2311475026470962,1
3,5,Moscow,Higher School of Economics,Economics,1,2021,1,Higher Ranking,2024,Russia,McKinsey,1.4503548764632193,-0.10872808255074845,3,4,4,0.0,1.214516984136964,1
2,3,Mumbai,IIT Bombay,Data Science,1,2023,0,Quality of Life,2025,India,Microsoft,0.665918486447953,-1.385969547798771,1,3,4,0.0,-0.008315259255065975,1
6,7,Dubai,University of Dubai,Data Science,0,2023,0,Higher Ranking,2026,None,None,-0.8785035087145754,-0.5267343802682832,2,0,4,0.0,1.214516984136964,0
3,8,Edinburgh,University of Edinburgh,Psychology,2,2020,1,Job Opportunities,2022,UK,Apple,1.9450494657926394,-1.0840761105583296,3,1,1,-0.48744465429063133,-0.008315259255065975,1
7,3,Delhi,JNU Delhi,Civil Engineering,1,2020,0,Higher Ranking,2022,India,Facebook,0.8869614690046654,0.5182813640255532,0,3,3,-0.2958054545900678,-0.008315259255065975,1
8,9,Boston,Harvard University,Psychology,3,2021,1,Job Opportunities,2024,None,None,-0.8785035087145754,-0.7821826733178874,4,1,3,-0.48744465429063133,1.214516984136964,0
